Consecutivo,Equipo local,Equipo visitante,Fecha ,Deporte
1,Los angeles Galaxy,Portland timbers,07/03/2022,Futbol
2,Ajax,Feyenoord,07/03/2022,Futbol
3,Chivas,Cruz Azul,07/03/2022,Futbol
4,Envigado,Atletico Nacional,07/03/2022,Futbol
5,Atlanta Braves,Florida Marlins,07/03/2022,Beisbol
6,Rafael Nadal,Roger Federer,07/03/2022,Tenis
7,FC Barcelona,Real Madrid,07/03/2022,Futbol
8,Bayern Munich,Bayern Leverkusen,07/03/2022,Futbol
9,Angels Lakers,Chicago Bulls,08/03/2022,Basket Ball
10,Juventus,Fiorentina,08/03/2022,Futbol
11,Manchester City,Newcastle,08/03/2022,Futbol
12,FC Porto,Benfica,09/03/2022,Futbol
13,River Plate,Boca,09/03/2022,Futbol